known_tags,rec_1,rec_2,rec_3,rec_4,rec_5
"['string', 'arrays', 'sorting']",algorithm,optimization,list,data-structures,hash
"['string', 'arrays', 'list']",algorithm,optimization,sorting,hash,data-structures
"['complexity-theory', 'optimization', 'multidimensional-array', 'arrays', 'heap-memory', 'stack', 'memory-management', 'big-o']",substring,hashtable,hashmap,hash,boolean-logic
['string'],arrays,algorithm,optimization,list,sorting
['code-complexity'],shortest-path,stability,matrix-multiplication,greedy,backtracking
"['string-matching', 'string', 'arrays', 'list']",string-concatenation,optimization,algorithm,multidimensional-array,string-comparison
"['complexity-theory', 'algorithm', 'optimization', 'string', 'hash', 'data-structures', 'arrays', 'graph', 'memory-management', 'sorting', 'linked-list', 'list']",boolean,recursion,graph-theory,tree,multidimensional-array
"['complexity-theory', 'algorithm', 'optimization', 'hashtable', 'arrays', 'code-complexity']",partitioning,tree,graph-theory,data-structures,memory-management
"['optimization', 'string', 'hash', 'data-structures', 'arrays', 'memory-management', 'partitioning', 'recursion', 'combinatorics', 'sorting']",algorithm,list,tree,heuristics,string-matching
"['boolean', 'algorithm', 'hash-collision', 'hashtable', 'string', 'memory-management']",optimization,sorting,data-structures,substring,tail-recursion
"['algorithm', 'optimization', 'string-concatenation', 'string', 'hash', 'data-structures', 'arrays', 'graph', 'list']",sorting,artificial-intelligence,memory-management,recursion,boolean
"['string', 'combinatorics']",heuristics,algorithm,optimization,mathematical-optimization,artificial-intelligence
"['algorithm', 'string', 'recursion']",hash,list,optimization,sorting,data-structures
['string'],algorithm,arrays,optimization,list,sorting
"['algorithm', 'string-concatenation', 'string', 'graph']",artificial-intelligence,hash,optimization,sorting,list
"['artificial-intelligence', 'turing-machines', 'turing-complete', 'algorithm', 'computability', 'string', 'data-structures', 'arrays', 'list']",graph-theory,optimization,directed-graph,sorting,traveling-salesman
"['algorithm', 'data-structures', 'recursion']",optimization,sorting,hash,memory-management,boolean
"['boolean', 'artificial-intelligence', 'algorithm', 'optimization', 'hashcode', 'substring', 'string', 'hash', 'data-structures', 'arrays', 'graph', 'memory-management', 'sorting', 'list']",string-concatenation,recursion,multidimensional-array,boolean-logic,hashtable
"['optimization', 'memory-management', 'sorting', 'list']",data-structures,recursion,hash,boolean,hashtable
['list'],algorithm,optimization,sorting,data-structures,hash
"['algorithm', 'directed-graph', 'list']",optimization,data-structures,sorting,memory-management,graph-theory
"['algorithm', 'string', 'data-structures', 'recursion', 'list']",optimization,sorting,hash,memory-management,boolean
"['algorithm', 'optimization', 'data-structures', 'graph-theory', 'recursion', 'list']",sorting,partitioning,tree,hash,memory-management
"['subset-sum', 'algorithm', 'string', 'multidimensional-array', 'arrays', 'stack', 'memory-management', 'set', 'sorting', 'list']",optimization,recursion,hash,data-structures,tail-recursion
[],algorithm,string,arrays,optimization,data-structures
"['artificial-intelligence', 'algorithm', 'string', 'memory-management', 'recursion', 'sorting']",graph,hash,optimization,data-structures,list
['sorting'],optimization,data-structures,memory-management,recursion,hash
['arrays'],algorithm,optimization,sorting,list,data-structures
"['artificial-intelligence', 'algorithm', 'optimization', 'string', 'tree', 'data-structures', 'arrays', 'graph', 'memory-management', 'recursion', 'sorting']",graph-theory,hash,list,boolean,complexity-theory
['recursion'],multidimensional-array,string-concatenation,set,boolean,stack
"['algorithm', 'string-matching', 'string', 'hash', 'arrays', 'sorting', 'list']",optimization,string-concatenation,recursion,hashcode,data-structures
"['complexity-theory', 'non-deterministic', 'turing-machines', 'turing-complete', 'algorithm', 'optimization', 'string', 'hash', 'binary-tree', 'data-structures', 'multidimensional-array', 'arrays', 'heap-memory', 'stack', 'memory-management', 'recursion', 'list']",sorting,boolean,set,heap,tail-recursion
"['artificial-intelligence', 'hash']",graph,boolean-logic,heuristics,tree,complexity-theory
"['algorithm', 'string', 'data-structures', 'memory-management', 'set', 'combinatorics']",optimization,list,sorting,hash,recursion
[],algorithm,string,arrays,optimization,tail-recursion
['string'],arrays,algorithm,optimization,list,sorting
"['algorithm', 'optimization', 'string', 'multidimensional-array', 'arrays', 'recursion', 'combinatorics']",sorting,hash,list,data-structures,string-concatenation
['memory-management'],hash,recursion,hashtable,boolean,stack
['string'],algorithm,optimization,arrays,list,sorting
['algorithm'],optimization,sorting,data-structures,memory-management,recursion
"['string', 'hash', 'priority-queue', 'memory-management']",heap-memory,algorithm,optimization,hashtable,stack-memory
"['algorithm', 'string']",optimization,arrays,list,sorting,data-structures
"['string', 'arrays']",algorithm,optimization,list,sorting,data-structures
"['algorithm', 'list']",sorting,optimization,data-structures,memory-management,hash
"['algorithm', 'string']",arrays,optimization,sorting,list,data-structures
"['arrays', 'memory-management']",algorithm,optimization,data-structures,sorting,hashtable
"['algorithm', 'sorting']",optimization,data-structures,tree,hashtable,memory-management
"['boolean', 'artificial-intelligence', 'data-structures', 'arrays', 'memory-management']",graph,sorting,hash,optimization,recursion
['list'],algorithm,optimization,sorting,data-structures,hash
"['algorithm', 'optimization', 'string']",list,sorting,data-structures,substring,recursion
"['string', 'sorting']",algorithm,optimization,list,hash,recursion
"['optimization', 'hashcode', 'memory-management', 'recursion']",multidimensional-array,set,hashset,string-concatenation,boolean-operations
"['optimization', 'list']",sorting,hash,recursion,data-structures,memory-management
['hash'],recursion,boolean,multidimensional-array,substring,string-concatenation
"['algorithm', 'arrays']",optimization,list,sorting,data-structures,memory-management
"['optimization', 'arrays', 'time-complexity', 'list']",data-structures,memory-management,complexity-theory,sorting,big-o
"['proof', 'mathematical-optimization', 'artificial-intelligence', 'backtracking', 'algorithm', 'optimization', 'string', 'hash', 'tree', 'data-structures', 'arrays', 'heap', 'tail-recursion', 'recursion', 'set', 'combinatorics', 'list']",sorting,graph,multidimensional-array,memory-management,probability
['algorithm'],optimization,data-structures,sorting,memory-management,boolean
"['directed-graph', 'path-finding']",dijkstra,a-star,traveling-salesman,heuristics,shortest-path
['arrays'],algorithm,optimization,list,sorting,recursion
"['hash', 'arrays']",recursion,optimization,sorting,memory-management,data-structures
['list'],algorithm,optimization,sorting,data-structures,recursion
['data-structures'],optimization,hash,memory-management,recursion,boolean
"['algorithm', 'string', 'data-structures', 'multidimensional-array']",queue,list,optimization,set,hashmap
"['algorithm', 'string']",list,arrays,optimization,sorting,data-structures
[],algorithm,string,arrays,optimization,data-structures
['optimization'],memory-management,hashtable,hash,boolean,recursion
['algorithm'],optimization,data-structures,sorting,memory-management,boolean
"['np', 'heuristics', 'algorithm', 'string', 'hash', 'tree-traversal', 'recursion', 'quicksort', 'mergesort', 'sorting']",data-structures,optimization,list,memory-management,p-np
"['boolean', 'string', 'hash', 'data-structures', 'arrays', 'graph-theory', 'set', 'sorting', 'linked-list', 'list']",algorithm,optimization,recursion,memory-management,queue
['string'],arrays,algorithm,optimization,list,data-structures
['algorithm'],optimization,sorting,data-structures,memory-management,recursion
"['optimization', 'string', 'queue']",list,multidimensional-array,set,algorithm,recursion
['string'],arrays,algorithm,optimization,hash,list
"['string', 'tree', 'data-structures']",algorithm,optimization,memory-management,list,sorting
"['data-structures', 'arrays']",algorithm,optimization,sorting,memory-management,hash
['string-concatenation'],string-matching,hashcode,graph,string-comparison,stack
"['optimization', 'data-structures', 'memory-management', 'linked-list']",hashtable,hashmap,tree,hash,heap-memory
"['algorithm', 'data-structures', 'arrays', 'recursion', 'sorting']",optimization,hash,memory-management,boolean,set
"['algorithm', 'hash']",optimization,memory-management,recursion,sorting,data-structures
[],algorithm,string,arrays,optimization,data-structures
[],algorithm,string,arrays,optimization,data-structures
"['algorithm', 'string-concatenation', 'string', 'list']",hash,optimization,multidimensional-array,recursion,sorting
"['string', 'arrays', 'recursion']",hash,list,algorithm,optimization,sorting
"['arrays', 'sorting']",algorithm,optimization,data-structures,boolean,recursion
"['algorithm', 'optimization', 'list']",sorting,data-structures,boolean,memory-management,recursion
"['boolean', 'boolean-expression', 'optimization', 'string', 'hash', 'arrays', 'memory-management', 'queue', 'sorting', 'list']",algorithm,recursion,data-structures,multidimensional-array,string-concatenation
['string'],algorithm,arrays,optimization,list,boolean
"['algorithm', 'optimization', 'string', 'hash', 'multidimensional-array', 'arrays', 'graph', 'combinatorics', 'sorting', 'list']",data-structures,recursion,memory-management,artificial-intelligence,heuristics
"['string', 'arrays', 'recursion']",sorting,algorithm,list,optimization,hash
"['algorithm', 'string', 'clique-problem', 'graph-theory']",traveling-salesman,optimization,np-hard,clique,data-structures
"['optimization', 'memory-management', 'recursion']",hash,stack,multidimensional-array,set,hashtable
"['algorithm', 'string', 'arrays', 'sorting']",optimization,list,data-structures,recursion,boolean
"['heuristics', 'algorithm', 'string', 'data-structures', 'arrays', 'recursion', 'sorting']",optimization,list,artificial-intelligence,complexity-theory,hash
['string'],algorithm,arrays,optimization,sorting,list
['recursion'],multidimensional-array,string-concatenation,stack,substring,set
['string'],arrays,algorithm,optimization,list,hash
"['hashtable', 'string', 'data-structures', 'arrays', 'sorting', 'list']",algorithm,memory-management,optimization,hashmap,hash
"['boolean', 'optimization', 'substring', 'string', 'tree', 'arrays', 'heap-memory', 'stack', 'memory-management', 'recursion', 'list']",algorithm,hashtable,sorting,data-structures,hash
"['heap-memory', 'memory-management']",hashmap,stack,hashtable,hash,linked-list
['arrays'],algorithm,optimization,list,sorting,hash
[],algorithm,string,arrays,optimization,data-structures
"['algorithm', 'string', 'graph', 'tail-recursion', 'fibonacci', 'recursion']",optimization,probability,np-complete,sorting,mathematical-optimization
['algorithm'],optimization,data-structures,sorting,memory-management,tree
"['algorithm', 'string', 'data-structures', 'arrays', 'queue', 'recursion', 'list']",sorting,optimization,hash,memory-management,multidimensional-array
"['optimization', 'hash']",recursion,stack,multidimensional-array,substring,boolean
"['string', 'arrays', 'memory-management']",optimization,algorithm,hash,list,substring
[],algorithm,string,arrays,data-structures,optimization
"['boolean-logic', 'boolean-expression']",set-theory,stability,heuristics,code-complexity,boolean-operations
"['algorithm', 'optimization', 'hashtable', 'hash', 'data-structures', 'arrays', 'graph-theory', 'memory-management', 'recursion', 'set']",sorting,hashmap,queue,linked-list,partitioning
"['arrays', 'heap-memory', 'stack']",optimization,memory-management,hashtable,hash,sorting
"['mathematical-optimization', 'string', 'arrays', 'memory-management', 'list']",algorithm,optimization,sorting,hash-collision,hash
['hash'],recursion,set,multidimensional-array,boolean,stack
"['arrays', 'memory-management']",hash,optimization,algorithm,recursion,sorting
"['optimization', 'hashtable', 'string']",algorithm,heap-memory,hashmap,list,memory-management
"['probability', 'np', 'complexity-theory', 'boolean-logic', 'boolean', 'artificial-intelligence', 'automata', 'algorithm', 'optimization', 'string-concatenation', 'hashcode', 'substring', 'hashtable', 'string-comparison', 'huffman-code', 'hashset', 'string', 'hash', 'hashmap', 'tree-traversal', 'binary-search-tree', 'binary-tree', 'doubly-linked-list', 'multiway-tree', 'tree', 'data-structures', 'multidimensional-array', 'arrays', 'graph-algorithm', 'graph-theory', 'graph', 'topological-sort', 'cyclic-graph', 'priority-queue', 'binary-heap', 'stack', 'memory-management', 'dynamic-allocation', 'queue', 'dynamic-programming', 'big-o', 'time-complexity', 'fibonacci', 'recursion', 'greatest-common-divisor', 'set', 'mergesort', 'combinatorics', 'binary-search', 'selection-sort', 'sorting', 'linked-list', 'list']",quicksort,heap-memory,digraphs,avl-tree,mathematical-optimization
"['artificial-intelligence', 'algorithm', 'string', 'hash', 'multidimensional-array', 'arrays', 'sorting', 'list']",graph,optimization,data-structures,memory-management,recursion
"['algorithm', 'list']",optimization,sorting,recursion,data-structures,hash
"['hashtable', 'hash', 'arrays', 'list']",memory-management,hashmap,optimization,stack,sorting
['algorithm'],optimization,data-structures,sorting,memory-management,tree
"['algorithm', 'string', 'tree', 'arrays']",optimization,data-structures,sorting,list,memory-management
"['hashtable', 'data-structures', 'sorting']",hashmap,hash,recursion,heap-memory,tree
"['proof', 'complexity-theory', 'artificial-intelligence', 'p-np', 'algorithm', 'string', 'data-structures', 'queue', 'dynamic-programming', 'mergesort', 'sorting', 'linked-list']",optimization,graph,list,heap-memory,tail-recursion
"['boolean', 'optimization']",tree,hash,recursion,queue,hashtable
"['optimization', 'graph']",artificial-intelligence,recursion,boolean,tree,multidimensional-array
"['boolean', 'algorithm', 'hashtable', 'string', 'hashmap', 'breadth-first-search', 'arrays', 'recursion', 'sorting', 'list']",data-structures,optimization,memory-management,hash,linked-list
"['string', 'data-structures', 'arrays']",algorithm,optimization,list,sorting,memory-management
['string'],arrays,algorithm,optimization,list,sorting
"['data-structures', 'arrays']",algorithm,optimization,sorting,memory-management,boolean
['graph'],string-matching,artificial-intelligence,string-comparison,graph-theory,heuristics
"['substring', 'string', 'arrays', 'memory-management']",hash,algorithm,optimization,list,stack
"['optimization', 'arrays']",algorithm,sorting,data-structures,boolean,memory-management
"['boolean', 'algorithm', 'optimization', 'string-concatenation', 'hashset', 'string', 'hashmap', 'arrays', 'graph', 'heap-memory', 'memory-management', 'recursion', 'set', 'sorting', 'list']",hashtable,substring,string-comparison,queue,hash
"['artificial-intelligence', 'string-comparison', 'string', 'data-structures', 'multidimensional-array', 'arrays', 'queue', 'list']",graph,algorithm,sorting,optimization,hash
['algorithm'],optimization,sorting,data-structures,hash,recursion
"['string', 'memory-management']",hash,optimization,algorithm,list,stack
['optimization'],substring,memory-management,recursion,hashtable,boolean-logic
"['algorithm', 'hash']",optimization,recursion,sorting,data-structures,memory-management
"['optimization', 'string']",algorithm,sorting,list,data-structures,memory-management
['sorting'],optimization,data-structures,boolean,recursion,memory-management
['arrays'],algorithm,optimization,list,sorting,data-structures
"['algorithm', 'string', 'hash', 'arrays', 'recursion', 'quicksort']",data-structures,optimization,sorting,list,memory-management
['code-complexity'],shortest-path,a-star,sparse-matrix,backtracking,stability
"['algorithm', 'string', 'hash', 'data-structures', 'arrays', 'recursion']",memory-management,list,optimization,sorting,stack
"['algorithm', 'optimization', 'directed-acyclic-graphs', 'data-structures', 'arrays', 'graph', 'heap-memory', 'stack', 'queue', 'tail-recursion', 'recursion']",sorting,graph-theory,tree,probability,memory-management
"['algorithm', 'quicksort', 'mergesort', 'list']",optimization,heap-memory,binary-tree,memory-management,data-structures
"['complexity-theory', 'algorithm', 'string', 'hash', 'big-o', 'time-complexity', 'recursion', 'sorting', 'list']",optimization,data-structures,memory-management,artificial-intelligence,boolean
"['boolean-logic', 'boolean', 'string', 'data-structures', 'multidimensional-array', 'arrays', 'graph', 'sorting']",algorithm,artificial-intelligence,optimization,hash,hashtable
"['probability', 'artificial-intelligence', 'algorithm', 'optimization', 'hashtable', 'string', 'tree', 'data-structures', 'multidimensional-array', 'arrays', 'memory-management', 'queue', 'recursion', 'sorting', 'list']",graph,hash,boolean,heuristics,complexity-theory
"['string', 'arrays']",algorithm,optimization,list,sorting,data-structures
['sorting'],optimization,data-structures,recursion,boolean,memory-management
"['boolean', 'algorithm', 'optimization', 'string-concatenation', 'string', 'data-structures', 'arrays', 'memory-management', 'fifo', 'queue', 'recursion', 'bubble-sort', 'sorting', 'list']",multidimensional-array,hash,set,complexity-theory,substring
['string'],arrays,algorithm,optimization,list,sorting
"['boolean', 'string']",algorithm,optimization,sorting,hash,queue
"['boolean', 'algorithm', 'optimization']",sorting,data-structures,recursion,hash,queue
"['boolean-logic', 'algorithm', 'hashtable', 'string', 'hash', 'data-structures', 'arrays']",optimization,memory-management,heap-memory,list,sorting
"['optimization', 'string']",algorithm,list,sorting,data-structures,memory-management
"['algorithm', 'recursion']",hash,sorting,optimization,data-structures,memory-management
"['data-structures', 'stack', 'fibonacci-heap', 'heap']",dynamic-allocation,heapsort,radix-sort,binary-tree,insertion-sort
"['algorithm', 'hash', 'tree', 'data-structures', 'multidimensional-array', 'arrays', 'graph-theory', 'sorting', 'list']",optimization,memory-management,recursion,graph,queue
"['boolean', 'arrays', 'heap-memory', 'stack']",optimization,hashtable,memory-management,hashmap,data-structures
"['mathematical-optimization', 'complexity-theory', 'algorithm', 'optimization', 'substring', 'string', 'doubly-linked-list', 'multidimensional-array', 'arrays', 'graph', 'big-o', 'sorting', 'list']",data-structures,boolean,recursion,hash,memory-management
"['probability', 'boolean-logic', 'boolean', 'algorithm', 'optimization', 'substring', 'hashtable', 'string', 'hash', 'tree-traversal', 'tree', 'arrays', 'heap-memory', 'stack-memory', 'queue', 'recursion', 'sorting', 'list', 'set-theory']",data-structures,memory-management,heap,hashmap,finite-automata
"['complexity-theory', 'algorithm', 'optimization', 'hash', 'data-structures', 'arrays', 'graph-theory', 'big-o', 'sorting']",memory-management,recursion,artificial-intelligence,tree,boolean
"['algorithm', 'string', 'arrays', 'memory-management', 'recursion', 'list']",hash,optimization,sorting,data-structures,stack
"['algorithm', 'string', 'hash', 'data-structures', 'arrays', 'partitioning', 'recursion', 'set', 'list']",queue,sorting,optimization,multidimensional-array,memory-management
['string'],algorithm,arrays,optimization,sorting,list
['list'],algorithm,optimization,data-structures,sorting,hash
"['boolean-logic', 'boolean', 'artificial-intelligence', 'algorithm', 'optimization', 'string', 'arrays', 'graph', 'sorting']",substring,list,hash,memory-management,data-structures
['finite-automata'],linear-programming,heuristics,set-theory,code-complexity,directed-graph
"['boolean-logic', 'algorithm', 'hash', 'list']",optimization,substring,memory-management,sorting,data-structures
['string'],arrays,algorithm,hash,optimization,list
"['algorithm', 'string', 'tree', 'arrays']",optimization,data-structures,list,sorting,memory-management
"['data-structures', 'stack']",hashmap,hashtable,hash,multidimensional-array,recursion
"['optimization', 'string-concatenation', 'string', 'sparse-array', 'arrays', 'heap-memory', 'memory-management', 'stack-memory', 'sorting', 'list']",algorithm,data-structures,binary-tree,b-tree,hash
"['algorithm', 'optimization', 'string', 'set', 'list']",hash,recursion,memory-management,multidimensional-array,data-structures
"['string', 'arrays']",algorithm,optimization,list,sorting,data-structures
"['algorithm', 'tree', 'data-structures', 'graph-theory', 'recursion']",optimization,sorting,memory-management,hash,graph
"['probability', 'algorithm', 'optimization', 'string', 'tree', 'arrays', 'recursion', 'sorting', 'list']",data-structures,memory-management,artificial-intelligence,graph,hash
[],algorithm,string,arrays,optimization,data-structures
['arrays'],algorithm,optimization,list,sorting,memory-management
"['probability', 'artificial-intelligence', 'algorithm', 'optimization', 'substring', 'string', 'binary-search-tree', 'data-structures', 'arrays', 'memory-management']",np-complete,sorting,list,tree,graph
"['algorithm', 'memory-management']",hash,optimization,sorting,data-structures,recursion
"['boolean', 'optimization', 'string-concatenation', 'string-matching', 'string', 'hash', 'memory-management']",queue,graph,algorithm,sorting,multidimensional-array
['memory-management'],queue,hash,multidimensional-array,boolean,recursion
"['complexity-theory', 'algorithm', 'hashtable', 'string', 'hash', 'arrays', 'big-o', 'tail-recursion', 'time-complexity', 'list']",optimization,data-structures,memory-management,heap-memory,sorting
['big-o'],artificial-intelligence,complexity-theory,heuristics,boolean,graph-theory
[],algorithm,string,arrays,optimization,data-structures
"['optimization', 'data-structures', 'arrays']",algorithm,memory-management,sorting,hash,boolean
[],algorithm,string,arrays,optimization,data-structures
"['boolean', 'algorithm', 'string', 'hash', 'tree', 'data-structures', 'arrays', 'graph-theory', 'memory-management', 'fibonacci', 'combinatorics', 'list']",complexity-theory,optimization,sorting,recursion,graph
"['hash', 'sorting']",recursion,memory-management,boolean,multidimensional-array,substring
"['optimization', 'recursion', 'sorting']",hash,set,boolean,multidimensional-array,stack
"['string', 'multidimensional-array', 'list']",algorithm,optimization,memory-management,hash,stack
"['algorithm', 'string', 'hash', 'recursion', 'sorting']",list,optimization,data-structures,memory-management,multidimensional-array
['arrays'],algorithm,optimization,list,data-structures,sorting
['optimization'],tree,memory-management,hashtable,boolean,recursion
['sorting'],optimization,boolean,data-structures,recursion,hash
['string'],algorithm,arrays,optimization,list,sorting
['arrays'],algorithm,optimization,sorting,list,data-structures
[],algorithm,string,arrays,optimization,data-structures
"['complexity-theory', 'boolean', 'algorithm', 'optimization', 'string-matching', 'string', 'hash', 'directed-acyclic-graphs', 'binary-tree', 'tree', 'data-structures', 'arrays', 'graph', 'heap-memory', 'stack', 'memory-management', 'heap', 'set', 'sorting', 'linked-list', 'list']",recursion,multidimensional-array,queue,hashtable,hashmap
"['algorithm', 'substring', 'string', 'memory-management']",hash,optimization,list,recursion,sorting
"['artificial-intelligence', 'boolean-algebra', 'algorithm', 'optimization', 'string', 'hash', 'directed-acyclic-graphs', 'tree', 'data-structures', 'arrays', 'queue', 'dynamic-programming', 'time-complexity', 'sorting']",list,graph,big-o,recursion,memory-management
"['hashmap', 'list']",hashtable,memory-management,optimization,tree,data-structures
"['arrays', 'sorting']",algorithm,optimization,hash,data-structures,recursion
"['algorithm', 'string']",arrays,optimization,list,sorting,data-structures
"['complexity-theory', 'boolean', 'artificial-intelligence', 'boolean-operations', 'boolean-expression', 'algorithm', 'optimization', 'hashcode', 'substring', 'hashtable', 'string-comparison', 'string', 'hash', 'tree', 'data-structures', 'multidimensional-array', 'array-merge', 'arrays', 'array-multisort', 'memory-management', 'queue', 'dynamic-arrays', 'big-o', 'tail-recursion', 'recursion', 'set', 'sorting', 'list']",graph,hashset,string-concatenation,probability,stack
"['string', 'arrays', 'sorting']",algorithm,optimization,list,data-structures,recursion
[],algorithm,string,arrays,optimization,data-structures
['optimization'],memory-management,hashtable,recursion,tree,linked-list
"['np-complete', 'mathematical-optimization', 'artificial-intelligence', 'algorithm', 'optimization', 'arrays']",graph,linear-programming,sorting,hash-collision,tail-recursion
"['algorithm', 'arrays', 'list']",optimization,sorting,data-structures,recursion,hash
['list'],algorithm,optimization,sorting,data-structures,hash
"['data-structures', 'memory-management', 'set']",recursion,hash,stack,multidimensional-array,hashmap
"['algorithm', 'optimization']",sorting,data-structures,recursion,substring,hash
"['algorithm', 'string', 'stack', 'big-o', 'time-complexity', 'binary-search', 'linked-list']",optimization,data-structures,heap-memory,complexity-theory,list
['arrays'],hash,algorithm,optimization,list,sorting
['optimization'],recursion,hash,substring,boolean,memory-management
"['string', 'arrays', 'list']",algorithm,optimization,sorting,data-structures,hash
"['string', 'data-structures', 'arrays', 'fifo', 'queue']",algorithm,optimization,list,memory-management,sorting
['algorithm'],optimization,sorting,data-structures,memory-management,hashtable
"['optimization', 'string', 'arrays', 'bubble-sort', 'sorting', 'list']",algorithm,binary-tree,data-structures,mergesort,memory-management
"['boolean', 'hashset', 'string', 'hashmap', 'arrays']",queue,algorithm,optimization,list,memory-management
['artificial-intelligence'],heuristics,boolean-logic,probability,np-complete,code-complexity
['string'],arrays,algorithm,optimization,list,sorting
"['algorithm', 'recursion']",hash,optimization,sorting,data-structures,memory-management
"['optimization', 'arrays']",algorithm,sorting,data-structures,substring,recursion
['optimization'],memory-management,recursion,boolean,hashtable,hash
"['artificial-intelligence', 'optimization', 'sorting', 'list']",graph,data-structures,heuristics,recursion,graph-theory
['arrays'],algorithm,optimization,list,hash,sorting
"['boolean', 'algorithm', 'optimization', 'string', 'arrays', 'memory-management', 'sorting', 'singly-linked-list']",data-structures,list,recursion,hash,linked-list
['memory-management'],hash,hashtable,recursion,boolean,stack
['arrays'],algorithm,optimization,sorting,list,data-structures
"['algorithm', 'string']",arrays,optimization,sorting,list,data-structures
"['algorithm', 'optimization', 'string']",list,sorting,data-structures,substring,memory-management
['string'],arrays,algorithm,optimization,list,sorting
['queue'],graph,partitioning,string-comparison,string-matching,graph-theory
"['algorithm', 'string', 'arrays', 'memory-management', 'mergesort', 'sorting']",optimization,data-structures,list,hash,binary-tree
['memory-management'],hash,recursion,hashtable,multidimensional-array,boolean
['sorting'],optimization,data-structures,memory-management,hash,recursion
['arrays'],algorithm,optimization,list,sorting,hash
"['algorithm', 'optimization', 'list']",sorting,data-structures,substring,memory-management,hash
"['boolean', 'artificial-intelligence', 'algorithm', 'optimization', 'hash-collision', 'string', 'hash', 'data-structures', 'multidimensional-array', 'arrays', 'heap-memory']",sorting,list,memory-management,complexity-theory,graph
