known_tags,rec_1,rec_2,rec_3,rec_4,rec_5
['string'],algorithm,arrays,optimization,list,sorting
"['algorithm', 'string-concatenation', 'string', 'graph']",artificial-intelligence,string-matching,heuristics,boolean-logic,combinatorics
"['artificial-intelligence', 'turing-machines', 'turing-complete', 'algorithm', 'computability', 'string', 'data-structures', 'arrays', 'list']",traveling-salesman,abstract-data-type,np-hard,directed-acyclic-graphs,a-star
"['algorithm', 'data-structures', 'recursion']",boolean,multidimensional-array,set,stack,hashtable
"['boolean', 'artificial-intelligence', 'algorithm', 'optimization', 'hashcode', 'substring', 'string', 'hash', 'data-structures', 'arrays', 'graph', 'memory-management', 'sorting', 'list']",boolean-logic,string-comparison,string-matching,probability,heuristics
"['optimization', 'memory-management', 'sorting', 'list']",recursion,hash,boolean,hashtable,multidimensional-array
['list'],algorithm,optimization,sorting,data-structures,hash
"['algorithm', 'directed-graph', 'list']",halting-problem,greedy,directed-acyclic-graphs,binary-search-tree,traveling-salesman
"['algorithm', 'string', 'data-structures', 'recursion', 'list']",boolean,multidimensional-array,set,stack,queue
"['algorithm', 'optimization', 'data-structures', 'graph-theory', 'recursion', 'list']",partitioning,directed-graph,code-complexity,greedy,heuristics
"['subset-sum', 'algorithm', 'string', 'multidimensional-array', 'arrays', 'stack', 'memory-management', 'set', 'sorting', 'list']",lexicographic-ordering,string-substitution,adjacency-list,string-algorithm,stability
[],algorithm,string,arrays,optimization,data-structures
"['artificial-intelligence', 'algorithm', 'string', 'memory-management', 'recursion', 'sorting']",heuristics,graph-theory,combinatorics,code-complexity,probability
['sorting'],optimization,data-structures,memory-management,recursion,hash
['arrays'],algorithm,optimization,sorting,list,data-structures
"['artificial-intelligence', 'algorithm', 'optimization', 'string', 'tree', 'data-structures', 'arrays', 'graph', 'memory-management', 'recursion', 'sorting']",graph-theory,partitioning,probability,code-complexity,heuristics
['recursion'],multidimensional-array,string-concatenation,set,boolean,stack
"['algorithm', 'string-matching', 'string', 'hash', 'arrays', 'sorting', 'list']",string-comparison,boolean-expression,boolean-operations,boolean-logic,partitioning
"['complexity-theory', 'non-deterministic', 'turing-machines', 'turing-complete', 'algorithm', 'optimization', 'string', 'hash', 'binary-tree', 'data-structures', 'multidimensional-array', 'arrays', 'heap-memory', 'stack', 'memory-management', 'recursion', 'list']",string-algorithm,automata,doubly-linked-list,set-theory,sparse-array
"['artificial-intelligence', 'hash']",boolean-logic,heuristics,graph-theory,code-complexity,combinatorics
"['algorithm', 'string', 'data-structures', 'memory-management', 'set', 'combinatorics']",heuristics,partitioning,boolean-operations,binary-search,probability
[],algorithm,string,arrays,optimization,tail-recursion
['string'],arrays,algorithm,optimization,list,sorting
"['algorithm', 'optimization', 'string', 'multidimensional-array', 'arrays', 'recursion', 'combinatorics']",boolean-operations,mathematical-optimization,boolean-expression,probability,heuristics
['memory-management'],hash,recursion,hashtable,boolean,stack
['string'],algorithm,optimization,arrays,list,sorting
['algorithm'],optimization,sorting,data-structures,memory-management,recursion
"['string', 'hash', 'priority-queue', 'memory-management']",heap,bubble-sort,fifo,b-tree,singly-linked-list
"['algorithm', 'string']",optimization,sorting,data-structures,tree,memory-management
"['string', 'arrays']",algorithm,optimization,list,sorting,data-structures
"['algorithm', 'list']",sorting,optimization,data-structures,memory-management,hash
"['algorithm', 'string']",optimization,sorting,data-structures,hash,recursion
"['arrays', 'memory-management']",hashtable,hash,boolean,recursion,hashmap
"['algorithm', 'sorting']",optimization,data-structures,tree,hashtable,memory-management
"['boolean', 'artificial-intelligence', 'data-structures', 'arrays', 'memory-management']",graph-theory,code-complexity,partitioning,probability,heuristics
['list'],algorithm,optimization,sorting,data-structures,hash
"['algorithm', 'optimization', 'string']",substring,recursion,hash,memory-management,boolean
"['string', 'sorting']",optimization,hash,recursion,data-structures,boolean
"['optimization', 'hashcode', 'memory-management', 'recursion']",hashset,boolean-operations,string-matching,boolean-expression,string-comparison
"['optimization', 'list']",hash,recursion,memory-management,boolean,substring
['hash'],recursion,boolean,multidimensional-array,substring,string-concatenation
"['algorithm', 'arrays']",optimization,sorting,data-structures,memory-management,hashtable
"['optimization', 'arrays', 'time-complexity', 'list']",complexity-theory,big-o,binary-tree,linked-list,boolean
"['proof', 'mathematical-optimization', 'artificial-intelligence', 'backtracking', 'algorithm', 'optimization', 'string', 'hash', 'tree', 'data-structures', 'arrays', 'heap', 'tail-recursion', 'recursion', 'set', 'combinatorics', 'list']",adjacency-list,minimax,amortized-analysis,string-algorithm,knapsack-problem
['algorithm'],optimization,data-structures,sorting,memory-management,boolean
"['directed-graph', 'path-finding']",dijkstra,a-star,traveling-salesman,heuristics,shortest-path
['arrays'],algorithm,optimization,list,sorting,recursion
"['hash', 'arrays']",recursion,multidimensional-array,boolean,substring,stack
['list'],algorithm,optimization,sorting,data-structures,recursion
['data-structures'],optimization,hash,memory-management,recursion,boolean
"['algorithm', 'string', 'data-structures', 'multidimensional-array']",queue,set,tree,stack,linked-list
"['algorithm', 'string']",optimization,sorting,data-structures,recursion,memory-management
[],algorithm,string,arrays,optimization,data-structures
['optimization'],memory-management,hashtable,hash,boolean,recursion
['algorithm'],optimization,data-structures,sorting,memory-management,boolean
"['np', 'heuristics', 'algorithm', 'string', 'hash', 'tree-traversal', 'recursion', 'quicksort', 'mergesort', 'sorting']",minimax,string-algorithm,amortized-analysis,multiway-tree,consistent-hashing
"['boolean', 'string', 'hash', 'data-structures', 'arrays', 'graph-theory', 'set', 'sorting', 'linked-list', 'list']",partitioning,fifo,directed-graph,binary-search,heuristics
['string'],arrays,algorithm,optimization,list,data-structures
['algorithm'],optimization,sorting,data-structures,memory-management,recursion
"['optimization', 'string', 'queue']",graph,string-comparison,string-matching,hashset,partitioning
['string'],arrays,algorithm,optimization,hash,list
"['string', 'tree', 'data-structures']",binary-tree,priority-queue,boolean-logic,probability,graph-theory
"['data-structures', 'arrays']",optimization,memory-management,hash,recursion,boolean
['string-concatenation'],string-matching,hashcode,graph,string-comparison,stack
"['optimization', 'data-structures', 'memory-management', 'linked-list']",tree,stack,binary-tree,substring,bubble-sort
"['algorithm', 'data-structures', 'arrays', 'recursion', 'sorting']",boolean,set,multidimensional-array,queue,stack
"['algorithm', 'hash']",recursion,stack,substring,multidimensional-array,boolean
[],algorithm,string,arrays,optimization,data-structures
[],algorithm,string,arrays,optimization,data-structures
"['algorithm', 'string-concatenation', 'string', 'list']",graph,stack,string-matching,hashcode,string-comparison
"['string', 'arrays', 'recursion']",multidimensional-array,set,stack,boolean,substring
"['arrays', 'sorting']",optimization,data-structures,boolean,recursion,memory-management
"['algorithm', 'optimization', 'list']",boolean,memory-management,recursion,substring,hash
"['boolean', 'boolean-expression', 'optimization', 'string', 'hash', 'arrays', 'memory-management', 'queue', 'sorting', 'list']",partitioning,fifo,code-complexity,heuristics,set-theory
['string'],algorithm,arrays,optimization,list,boolean
"['algorithm', 'optimization', 'string', 'hash', 'multidimensional-array', 'arrays', 'graph', 'combinatorics', 'sorting', 'list']",heuristics,probability,graph-theory,code-complexity,mathematical-optimization
"['string', 'arrays', 'recursion']",set,multidimensional-array,boolean,queue,graph
"['algorithm', 'string', 'clique-problem', 'graph-theory']",clique,bellman-ford,undirected-graph,ford-fulkerson,heap-size
"['optimization', 'memory-management', 'recursion']",stack,multidimensional-array,set,hashtable,boolean
"['algorithm', 'string', 'arrays', 'sorting']",optimization,data-structures,recursion,boolean,memory-management
"['heuristics', 'algorithm', 'string', 'data-structures', 'arrays', 'recursion', 'sorting']",linear-programming,greedy,shortest-path,sparse-matrix,code-complexity
['string'],algorithm,arrays,optimization,sorting,list
['recursion'],multidimensional-array,string-concatenation,stack,substring,set
['string'],arrays,algorithm,optimization,list,hash
"['hashtable', 'string', 'data-structures', 'arrays', 'sorting', 'list']",linked-list,tree,stack,multidimensional-array,substring
"['boolean', 'optimization', 'substring', 'string', 'tree', 'arrays', 'heap-memory', 'stack', 'memory-management', 'recursion', 'list']",binary-tree,boolean-logic,queue,binary-search,priority-queue
"['heap-memory', 'memory-management']",hashmap,stack,hashtable,linked-list,stack-memory
['arrays'],algorithm,optimization,list,sorting,hash
[],algorithm,string,arrays,optimization,data-structures
"['algorithm', 'string', 'graph', 'tail-recursion', 'fibonacci', 'recursion']",heuristics,finite-automata,boolean-logic,proof,linear-programming
['algorithm'],optimization,data-structures,sorting,memory-management,tree
"['algorithm', 'string', 'data-structures', 'arrays', 'queue', 'recursion', 'list']",partitioning,graph,string-matching,string-comparison,code-complexity
"['optimization', 'hash']",recursion,stack,multidimensional-array,substring,boolean
"['string', 'arrays', 'memory-management']",hash,substring,stack,recursion,hashtable
[],algorithm,string,arrays,data-structures,optimization
"['boolean-logic', 'boolean-expression']",set-theory,stability,heuristics,code-complexity,hash-collision
"['algorithm', 'optimization', 'hashtable', 'hash', 'data-structures', 'arrays', 'graph-theory', 'memory-management', 'recursion', 'set']",partitioning,priority-queue,directed-graph,fifo,binary-search
"['arrays', 'heap-memory', 'stack']",binary-tree,priority-queue,mergesort,tree,heap
"['mathematical-optimization', 'string', 'arrays', 'memory-management', 'list']",hash-collision,linear-programming,set-theory,backtracking,heuristics
['hash'],recursion,set,multidimensional-array,boolean,stack
"['arrays', 'memory-management']",hash,recursion,multidimensional-array,stack,set
"['optimization', 'hashtable', 'string']",stack,linked-list,substring,tree,multidimensional-array
"['probability', 'np', 'complexity-theory', 'boolean-logic', 'boolean', 'artificial-intelligence', 'automata', 'algorithm', 'optimization', 'string-concatenation', 'hashcode', 'substring', 'hashtable', 'string-comparison', 'huffman-code', 'hashset', 'string', 'hash', 'hashmap', 'tree-traversal', 'binary-search-tree', 'binary-tree', 'doubly-linked-list', 'multiway-tree', 'tree', 'data-structures', 'multidimensional-array', 'arrays', 'graph-algorithm', 'graph-theory', 'graph', 'topological-sort', 'cyclic-graph', 'priority-queue', 'binary-heap', 'stack', 'memory-management', 'dynamic-allocation', 'queue', 'dynamic-programming', 'big-o', 'time-complexity', 'fibonacci', 'recursion', 'greatest-common-divisor', 'set', 'mergesort', 'combinatorics', 'binary-search', 'selection-sort', 'sorting', 'linked-list', 'list']",max-flow,union-find,strongly-connected-graph,graph-coloring,double-hashing
"['artificial-intelligence', 'algorithm', 'string', 'hash', 'multidimensional-array', 'arrays', 'sorting', 'list']",heuristics,probability,graph-theory,code-complexity,combinatorics
"['algorithm', 'list']",optimization,sorting,recursion,data-structures,hash
"['hashtable', 'hash', 'arrays', 'list']",stack,multidimensional-array,linked-list,substring,tree
['algorithm'],optimization,data-structures,sorting,memory-management,tree
"['algorithm', 'string', 'tree', 'arrays']",partitioning,graph-theory,probability,queue,priority-queue
"['hashtable', 'data-structures', 'sorting']",tree,linked-list,multidimensional-array,stack,queue
"['proof', 'complexity-theory', 'artificial-intelligence', 'p-np', 'algorithm', 'string', 'data-structures', 'queue', 'dynamic-programming', 'mergesort', 'sorting', 'linked-list']",sparse-matrix,minimax,backtracking,set-operations,code-complexity
"['boolean', 'optimization']",tree,queue,hashtable,hashmap,partitioning
"['optimization', 'graph']",artificial-intelligence,heuristics,code-complexity,graph-theory,boolean-logic
"['boolean', 'algorithm', 'hashtable', 'string', 'hashmap', 'breadth-first-search', 'arrays', 'recursion', 'sorting', 'list']",hash-function,dynamic-arrays,set-theory,adjacency-list,dynamic-programming
"['string', 'data-structures', 'arrays']",optimization,memory-management,recursion,hashtable,boolean
['string'],arrays,algorithm,optimization,list,sorting
"['data-structures', 'arrays']",optimization,memory-management,boolean,hash,recursion
['graph'],string-matching,artificial-intelligence,string-comparison,graph-theory,heuristics
"['substring', 'string', 'arrays', 'memory-management']",stack,boolean-logic,string-concatenation,tree,string-matching
"['optimization', 'arrays']",boolean,memory-management,recursion,hash,substring
"['boolean', 'algorithm', 'optimization', 'string-concatenation', 'hashset', 'string', 'hashmap', 'arrays', 'graph', 'heap-memory', 'memory-management', 'recursion', 'set', 'sorting', 'list']",binary-search,boolean-logic,boolean-expression,probability,heuristics
"['artificial-intelligence', 'string-comparison', 'string', 'data-structures', 'multidimensional-array', 'arrays', 'queue', 'list']",hashset,code-complexity,binary-search,probability,heuristics
['algorithm'],optimization,sorting,data-structures,hash,recursion
"['string', 'memory-management']",hash,stack,recursion,substring,hashtable
['optimization'],substring,memory-management,recursion,hashtable,boolean-logic
"['algorithm', 'hash']",recursion,boolean,multidimensional-array,stack,substring
"['optimization', 'string']",memory-management,recursion,boolean,string-matching,substring
['sorting'],optimization,data-structures,boolean,recursion,memory-management
['arrays'],algorithm,optimization,list,sorting,data-structures
"['algorithm', 'string', 'hash', 'arrays', 'recursion', 'quicksort']",finite-automata,bubble-sort,mergesort,priority-queue,b-tree
['code-complexity'],shortest-path,a-star,sparse-matrix,backtracking,stability
"['algorithm', 'string', 'hash', 'data-structures', 'arrays', 'recursion']",stack,multidimensional-array,boolean,hashtable,substring
"['algorithm', 'optimization', 'directed-acyclic-graphs', 'data-structures', 'arrays', 'graph', 'heap-memory', 'stack', 'queue', 'tail-recursion', 'recursion']",sparse-array,recursive-datastructures,traveling-salesman,minimax,amortized-analysis
"['algorithm', 'quicksort', 'mergesort', 'list']",turing-complete,heap,finite-automata,b-tree,priority-queue
"['complexity-theory', 'algorithm', 'string', 'hash', 'big-o', 'time-complexity', 'recursion', 'sorting', 'list']",artificial-intelligence,substring,binary-tree,linked-list,bubble-sort
"['boolean-logic', 'boolean', 'string', 'data-structures', 'multidimensional-array', 'arrays', 'graph', 'sorting']",heuristics,boolean-expression,code-complexity,finite-automata,stability
"['probability', 'artificial-intelligence', 'algorithm', 'optimization', 'hashtable', 'string', 'tree', 'data-structures', 'multidimensional-array', 'arrays', 'memory-management', 'queue', 'recursion', 'sorting', 'list']",heuristics,binary-search,code-complexity,boolean-logic,finite-automata
"['string', 'arrays']",algorithm,optimization,list,sorting,data-structures
['sorting'],optimization,data-structures,recursion,boolean,memory-management
"['boolean', 'algorithm', 'optimization', 'string-concatenation', 'string', 'data-structures', 'arrays', 'memory-management', 'fifo', 'queue', 'recursion', 'bubble-sort', 'sorting', 'list']",string-substitution,b-tree,set-theory,greedy,singly-linked-list
['string'],arrays,algorithm,optimization,list,sorting
"['boolean', 'string']",queue,tree,graph,multidimensional-array,hashtable
"['boolean', 'algorithm', 'optimization']",queue,tree,graph,multidimensional-array,substring
"['boolean-logic', 'algorithm', 'hashtable', 'string', 'hash', 'data-structures', 'arrays']",code-complexity,boolean-expression,heuristics,finite-automata,set-theory
"['optimization', 'string']",memory-management,hash,recursion,substring,boolean
"['algorithm', 'recursion']",set,boolean,multidimensional-array,stack,substring
"['data-structures', 'stack', 'fibonacci-heap', 'heap']",heapsort,radix-sort,insertion-sort,static-array,doubly-linked-list
"['algorithm', 'hash', 'tree', 'data-structures', 'multidimensional-array', 'arrays', 'graph-theory', 'sorting', 'list']",probability,partitioning,heuristics,directed-graph,fifo
"['boolean', 'arrays', 'heap-memory', 'stack']",tree,queue,binary-search,priority-queue,binary-tree
"['mathematical-optimization', 'complexity-theory', 'algorithm', 'optimization', 'substring', 'string', 'doubly-linked-list', 'multidimensional-array', 'arrays', 'graph', 'big-o', 'sorting', 'list']",set-intersection,divide-and-conquer,greatest-common-divisor,multiway-tree,minimax
"['probability', 'boolean-logic', 'boolean', 'algorithm', 'optimization', 'substring', 'hashtable', 'string', 'hash', 'tree-traversal', 'tree', 'arrays', 'heap-memory', 'stack-memory', 'queue', 'recursion', 'sorting', 'list', 'set-theory']",string-substitution,subset-sum,string-algorithm,stability,amortized-analysis
"['complexity-theory', 'algorithm', 'optimization', 'hash', 'data-structures', 'arrays', 'graph-theory', 'big-o', 'sorting']",heuristics,greedy,directed-graph,partitioning,path-finding
"['algorithm', 'string', 'arrays', 'memory-management', 'recursion', 'list']",stack,set,multidimensional-array,boolean,hashtable
"['algorithm', 'string', 'hash', 'data-structures', 'arrays', 'partitioning', 'recursion', 'set', 'list']",code-complexity,heuristics,fifo,shortest-path,stability
['string'],algorithm,arrays,optimization,sorting,list
['list'],algorithm,optimization,data-structures,sorting,hash
"['boolean-logic', 'boolean', 'artificial-intelligence', 'algorithm', 'optimization', 'string', 'arrays', 'graph', 'sorting']",code-complexity,heuristics,partitioning,boolean-expression,shortest-path
['finite-automata'],linear-programming,heuristics,set-theory,code-complexity,directed-graph
"['boolean-logic', 'algorithm', 'hash', 'list']",heuristics,code-complexity,partitioning,boolean-expression,bubble-sort
['string'],arrays,algorithm,hash,optimization,list
"['algorithm', 'string', 'tree', 'arrays']",graph-theory,partitioning,heuristics,probability,code-complexity
"['data-structures', 'stack']",queue,tree,boolean-logic,hashset,string-comparison
"['optimization', 'string-concatenation', 'string', 'sparse-array', 'arrays', 'heap-memory', 'memory-management', 'stack-memory', 'sorting', 'list']",string-substitution,string-algorithm,amortized-analysis,consistent-hashing,minimax
"['algorithm', 'optimization', 'string', 'set', 'list']",queue,stack,tree,hashset,string-concatenation
"['string', 'arrays']",algorithm,optimization,list,sorting,data-structures
"['algorithm', 'tree', 'data-structures', 'graph-theory', 'recursion']",partitioning,directed-graph,code-complexity,greedy,heuristics
"['probability', 'algorithm', 'optimization', 'string', 'tree', 'arrays', 'recursion', 'sorting', 'list']",partitioning,code-complexity,heuristics,directed-graph,shortest-path
[],algorithm,string,arrays,optimization,data-structures
['arrays'],algorithm,optimization,list,sorting,memory-management
"['probability', 'artificial-intelligence', 'algorithm', 'optimization', 'substring', 'string', 'binary-search-tree', 'data-structures', 'arrays', 'memory-management']",heuristics,heap,code-complexity,sparse-matrix,set-theory
"['algorithm', 'memory-management']",hash,recursion,hashtable,stack,hashmap
"['boolean', 'optimization', 'string-concatenation', 'string-matching', 'string', 'hash', 'memory-management']",string-comparison,boolean-expression,combinatorics,heuristics,boolean-operations
['memory-management'],queue,hash,multidimensional-array,boolean,recursion
"['complexity-theory', 'algorithm', 'hashtable', 'string', 'hash', 'arrays', 'big-o', 'tail-recursion', 'time-complexity', 'list']",tree,heap,quicksort,b-tree,binary-search
['big-o'],artificial-intelligence,complexity-theory,heuristics,boolean,graph-theory
[],algorithm,string,arrays,optimization,data-structures
"['optimization', 'data-structures', 'arrays']",memory-management,hash,boolean,linked-list,hashtable
[],algorithm,string,arrays,optimization,data-structures
"['boolean', 'algorithm', 'string', 'hash', 'tree', 'data-structures', 'arrays', 'graph-theory', 'memory-management', 'fibonacci', 'combinatorics', 'list']",partitioning,heuristics,directed-graph,fifo,finite-automata
"['hash', 'sorting']",recursion,boolean,multidimensional-array,substring,stack
"['optimization', 'recursion', 'sorting']",set,boolean,multidimensional-array,stack,substring
"['string', 'multidimensional-array', 'list']",stack,string-concatenation,boolean-expression,queue,string-matching
"['algorithm', 'string', 'hash', 'recursion', 'sorting']",multidimensional-array,boolean,stack,set,substring
['arrays'],algorithm,optimization,list,data-structures,sorting
['optimization'],tree,memory-management,hashtable,boolean,recursion
['sorting'],optimization,boolean,data-structures,recursion,hash
['string'],algorithm,arrays,optimization,list,sorting
['arrays'],algorithm,optimization,sorting,list,data-structures
[],algorithm,string,arrays,optimization,data-structures
"['complexity-theory', 'boolean', 'algorithm', 'optimization', 'string-matching', 'string', 'hash', 'directed-acyclic-graphs', 'binary-tree', 'tree', 'data-structures', 'arrays', 'graph', 'heap-memory', 'stack', 'memory-management', 'heap', 'set', 'sorting', 'linked-list', 'list']",selection-sort,traveling-salesman,doubly-linked-list,stability,sparse-array
"['algorithm', 'substring', 'string', 'memory-management']",string-concatenation,stack,boolean-logic,string-matching,hashcode
"['artificial-intelligence', 'boolean-algebra', 'algorithm', 'optimization', 'string', 'hash', 'directed-acyclic-graphs', 'tree', 'data-structures', 'arrays', 'queue', 'dynamic-programming', 'time-complexity', 'sorting']",branch-and-bound,floyd-warshall,clique,planar-graph,bellman-ford
"['hashmap', 'list']",hashtable,tree,linked-list,stack,queue
"['arrays', 'sorting']",optimization,hash,data-structures,recursion,boolean
"['algorithm', 'string']",optimization,sorting,data-structures,substring,recursion
"['complexity-theory', 'boolean', 'artificial-intelligence', 'boolean-operations', 'boolean-expression', 'algorithm', 'optimization', 'hashcode', 'substring', 'hashtable', 'string-comparison', 'string', 'hash', 'tree', 'data-structures', 'multidimensional-array', 'array-merge', 'arrays', 'array-multisort', 'memory-management', 'queue', 'dynamic-arrays', 'big-o', 'tail-recursion', 'recursion', 'set', 'sorting', 'list']",enqueue,master-theorem,automata-theory,dependency-graph,bellman-ford
"['string', 'arrays', 'sorting']",optimization,data-structures,recursion,hash,memory-management
[],algorithm,string,arrays,optimization,data-structures
['optimization'],memory-management,hashtable,recursion,tree,linked-list
"['np-complete', 'mathematical-optimization', 'artificial-intelligence', 'algorithm', 'optimization', 'arrays']",linear-programming,hash-collision,heuristics,boolean-logic,set-theory
"['algorithm', 'arrays', 'list']",optimization,sorting,data-structures,recursion,hash
['list'],algorithm,optimization,sorting,data-structures,hash
"['data-structures', 'memory-management', 'set']",stack,queue,tree,string-concatenation,hashset
"['algorithm', 'optimization']",recursion,substring,hash,memory-management,boolean
"['algorithm', 'string', 'stack', 'big-o', 'time-complexity', 'binary-search', 'linked-list']",fifo,priority-queue,b-tree,fibonacci,matrix-multiplication
['arrays'],hash,algorithm,optimization,list,sorting
['optimization'],recursion,hash,substring,boolean,memory-management
"['string', 'arrays', 'list']",algorithm,optimization,sorting,data-structures,hash
"['string', 'data-structures', 'arrays', 'fifo', 'queue']",bubble-sort,halting-problem,greedy,code-complexity,recursive-datastructures
['algorithm'],optimization,sorting,data-structures,memory-management,hashtable
"['optimization', 'string', 'arrays', 'bubble-sort', 'sorting', 'list']",asymptotic-complexity,b-tree,insertion-sort,singly-linked-list,greedy
"['boolean', 'hashset', 'string', 'hashmap', 'arrays']",binary-search,boolean-logic,boolean-expression,probability,heuristics
['artificial-intelligence'],heuristics,boolean-logic,probability,np-complete,code-complexity
['string'],arrays,algorithm,optimization,list,sorting
"['algorithm', 'recursion']",set,boolean,multidimensional-array,stack,substring
"['optimization', 'arrays']",substring,recursion,hash,memory-management,boolean
['optimization'],memory-management,recursion,boolean,hashtable,hash
